sep=;
condition;trial;threshold;attempt;intensity;timestamp
Keyboard;1;Sensation;1;0.2;0
Keyboard;1;Sensation;1;0.3;0.5493164
Keyboard;1;Sensation;1;0.4;0.9384918
Keyboard;1;Sensation;1;0.5;1.163834
Keyboard;1;Sensation;1;0.6;1.541046
Keyboard;1;Sensation;1;0.7;1.841309
Keyboard;1;Sensation;1;0.8;2.2314
Keyboard;1;Sensation;1;0.9;2.540512
Keyboard;1;Sensation;1;1;2.829468
Keyboard;1;Sensation;1;1.1;3.595505
Keyboard;1;Sensation;1;1.2;8.659576
Keyboard;1;Sensation;1;1.3;8.948547
Keyboard;1;Sensation;1;1.4;9.203552
Keyboard;1;Sensation;1;1.5;9.55809
Keyboard;1;Sensation;1;1.6;9.90271
Keyboard;1;Sensation;1;1.7;10.23566
Keyboard;1;Sensation;1;1.8;12.09174
Keyboard;1;Sensation;1;1.9;13.59123
Keyboard;1;Sensation;1;1.8;18.10039
Keyboard;1;Sensation;1;1.7;19.04596
Keyboard;1;Sensation;1;1.6;19.41191
Keyboard;1;Sensation;1;1.7;20.5778
Keyboard;1;Sensation;1;1.8;21.29912
Keyboard;1;Sensation;1;1.7;21.49889
Keyboard;1;Sensation;1;1.6;21.722
Keyboard;1;Sensation;1;1.7;22.85359
Keyboard;1;Sensation;1;1.8;23.19817
Keyboard;1;Discomfort;1;1.9;31.22766
Keyboard;1;Discomfort;1;2;31.55042
Keyboard;1;Discomfort;1;2.1;31.795
Keyboard;1;Discomfort;1;2.2;31.99651
Keyboard;1;Discomfort;1;2.3;32.20479
Keyboard;1;Discomfort;1;2.4;32.45978
Keyboard;1;Discomfort;1;2.5;32.68306
Keyboard;1;Discomfort;1;2.6;33.00484
Keyboard;1;Discomfort;1;2.7;33.43735
Keyboard;1;Discomfort;1;2.8;33.66084
Keyboard;1;Discomfort;1;2.9;33.90404
Keyboard;1;Discomfort;1;3;34.21744
Keyboard;1;Discomfort;1;3.1;34.64893
Keyboard;1;Discomfort;1;3.2;34.99239
Keyboard;1;Discomfort;1;3.3;35.89301
Keyboard;1;Discomfort;1;3.4;36.15906
Keyboard;1;Discomfort;1;3.5;36.51447
Keyboard;1;Discomfort;1;3.4;38.29173
Keyboard;1;Discomfort;1;3.3;38.89159
Keyboard;1;Discomfort;1;3.4;39.99138
Keyboard;1;Discomfort;1;3.3;41.32378
Keyboard;1;Discomfort;1;3.4;45.58862
Keyboard;1;Discomfort;1;3.3;45.98909
Keyboard;1;Discomfort;1;3.4;46.84323
Keyboard;1;Discomfort;1;3.3;47.71001
Keyboard;1;Discomfort;1;3.4;49.82007
Keyboard;1;Discomfort;1;3.3;58.58333
Keyboard;1;Discomfort;1;3.4;71.323
Keyboard;1;Discomfort;1;3.3;72.38768
Keyboard;1;Discomfort;1;3.4;74.72041
Slider;2;Sensation;1;0.2;0
Slider;2;Sensation;1;0.3;0.1883545
Slider;2;Sensation;1;0.4;0.3427734
Slider;2;Sensation;1;0.5;0.5093384
Slider;2;Sensation;1;0.6;0.6435852
Slider;2;Sensation;1;0.7;0.7658234
Slider;2;Sensation;1;0.8;0.9200897
Slider;2;Sensation;1;0.9;1.119873
Slider;2;Sensation;1;1;1.309418
Slider;2;Sensation;1;1.1;1.476395
Slider;2;Sensation;1;1.2;1.652557
Slider;2;Sensation;1;1.3;1.830353
Slider;2;Sensation;1;1.4;2.019821
Slider;2;Sensation;1;1.5;2.242096
Slider;2;Sensation;1;1.6;2.431137
Slider;2;Sensation;1;1.7;2.652893
Slider;2;Sensation;1;1.8;2.942352
Slider;2;Sensation;1;1.9;3.197952
Slider;2;Sensation;1;2;3.497131
Slider;2;Sensation;1;2.1;3.875412
Slider;2;Sensation;1;2;4.063843
Slider;2;Sensation;1;1.9;4.230392
Slider;2;Sensation;1;1.8;4.408646
Slider;2;Sensation;1;1.9;4.774033
Slider;2;Sensation;1;2;5.107956
Slider;2;Sensation;1;2.1;5.428894
Slider;2;Sensation;1;2.2;6.27301
Slider;2;Sensation;1;2.1;6.940598
Slider;2;Sensation;1;2.2;7.429565
Slider;2;Discomfort;1;2.1;20.3904
Slider;2;Discomfort;1;2.2;20.74431
Slider;2;Discomfort;1;2.3;21.08934
Slider;2;Discomfort;1;2.4;21.24498
Slider;2;Discomfort;1;2.5;21.42378
Slider;2;Discomfort;1;2.6;21.56883
Slider;2;Discomfort;1;2.7;21.73338
Slider;2;Discomfort;1;2.8;21.92296
Slider;2;Discomfort;1;2.9;22.22246
Slider;2;Discomfort;1;3;22.4893
Slider;2;Discomfort;1;3.1;22.73219
Slider;2;Discomfort;1;3.2;22.98833
Slider;2;Discomfort;1;3.3;23.22145
Slider;2;Discomfort;1;3.4;23.4669
Slider;2;Discomfort;1;3.5;23.70992
Slider;2;Discomfort;1;3.6;23.96599
Slider;2;Discomfort;1;3.7;24.31075
Slider;2;Discomfort;1;3.6;25.13249
Slider;2;Discomfort;1;3.5;25.3542
Slider;2;Discomfort;1;3.6;25.88734
Slider;2;Discomfort;1;3.7;27.18629
Slider;2;Discomfort;1;3.6;31.76186
Slider;2;Discomfort;1;3.7;31.96318
Slider;2;Discomfort;1;3.8;32.11848
Slider;2;Discomfort;1;3.9;32.22978
Slider;2;Discomfort;1;4;32.34108
Slider;2;Discomfort;1;4.1;32.48463
Slider;2;Discomfort;1;4;33.07341
Slider;2;Discomfort;1;3.9;33.70628
Slider;2;Discomfort;1;3.8;37.394
Slider;2;Discomfort;1;3.7;37.84898
Slider;2;Discomfort;1;3.6;38.75951
Slider;2;Discomfort;1;3.7;39.56935
Slider;2;Discomfort;1;3.8;40.42528
Keyboard;3;Sensation;1;0.2;0
Keyboard;3;Sensation;1;0.3;1.022858
Keyboard;3;Sensation;1;0.4;1.288147
Keyboard;3;Sensation;1;0.5;1.533539
Keyboard;3;Sensation;1;0.6;1.75531
Keyboard;3;Sensation;1;0.7;2.000275
Keyboard;3;Sensation;1;0.8;2.288208
Keyboard;3;Sensation;1;0.9;2.554657
Keyboard;3;Sensation;1;1;2.778992
Keyboard;3;Sensation;1;1.1;3.05423
Keyboard;3;Sensation;1;1.2;3.321075
Keyboard;3;Sensation;1;1.3;3.56488
Keyboard;3;Sensation;1;1.4;3.787018
Keyboard;3;Sensation;1;1.5;4.009949
Keyboard;3;Sensation;1;1.6;4.231903
Keyboard;3;Sensation;1;1.7;4.728607
Keyboard;3;Sensation;1;1.8;5.074249
Keyboard;3;Sensation;1;1.9;5.419922
Keyboard;3;Sensation;1;2;6.220123
Keyboard;3;Sensation;1;2.1;6.843353
Keyboard;3;Sensation;1;2.2;7.041473
Keyboard;3;Sensation;1;2.3;7.352173
Keyboard;3;Sensation;1;2.4;7.65448
Keyboard;3;Sensation;1;2.5;7.986298
Keyboard;3;Sensation;1;2.6;8.296356
Keyboard;3;Sensation;1;2.7;8.66275
Keyboard;3;Sensation;1;2.8;8.952118
Keyboard;3;Sensation;1;2.9;9.273743
Keyboard;3;Sensation;1;3;9.562805
Keyboard;3;Sensation;1;3.1;9.784637
Keyboard;3;Sensation;1;3.2;10.30591
Keyboard;3;Sensation;1;3.3;10.62955
Keyboard;3;Sensation;1;3.4;10.90775
Keyboard;3;Sensation;1;3.5;11.43951
Keyboard;3;Sensation;1;3.6;12.13977
Keyboard;3;Sensation;1;3.7;13.13834
Keyboard;3;Sensation;1;3.8;13.41727
Keyboard;3;Sensation;1;3.7;13.798
Keyboard;3;Sensation;1;3.6;14.00613
Keyboard;3;Sensation;1;3.5;14.21643
Keyboard;3;Sensation;1;3.4;14.4166
Keyboard;3;Sensation;1;3.3;15.11462
Keyboard;3;Sensation;1;3.4;16.0509
Keyboard;3;Sensation;1;3.5;18.18182
Keyboard;3;Sensation;1;3.4;18.7926
Keyboard;3;Sensation;1;3.5;19.36966
Keyboard;3;Sensation;1;3.4;20.62759
Keyboard;3;Sensation;1;3.3;20.84671
Keyboard;3;Sensation;1;3.2;21.05899
Keyboard;3;Sensation;1;3.3;21.51468
Keyboard;3;Sensation;1;3.4;21.74649
Keyboard;3;Sensation;1;3.5;21.91348
Keyboard;3;Sensation;1;3.6;22.40216
Keyboard;3;Sensation;1;3.5;25.23358
Keyboard;3;Sensation;1;3.4;25.72147
Keyboard;3;Sensation;1;3.3;25.8895
Keyboard;3;Sensation;1;3.4;26.57883
Keyboard;3;Sensation;1;3.5;27.23294
Keyboard;3;Sensation;1;3.6;27.78891
Keyboard;3;Sensation;1;3.5;28.93256
Keyboard;3;Sensation;1;3.6;29.77658
Keyboard;3;Discomfort;1;3.7;40.56027
Keyboard;3;Discomfort;1;3.8;40.8154
Keyboard;3;Discomfort;1;3.9;40.99323
Keyboard;3;Discomfort;1;4;41.13965
Keyboard;3;Discomfort;1;3.9;44.07996
Keyboard;3;Discomfort;1;3.8;45.79236
Keyboard;3;Discomfort;1;3.7;46.79172
Keyboard;3;Discomfort;1;3.8;48.40347
Keyboard;3;Discomfort;1;3.9;49.70117
Keyboard;3;Discomfort;1;4;54.24313
Keyboard;3;Discomfort;1;3.9;55.37659
Keyboard;3;Discomfort;1;4;56.04291
Keyboard;3;Discomfort;1;4.1;56.28738
Keyboard;3;Discomfort;1;4;57.35284
Keyboard;3;Discomfort;1;3.9;57.97577
Keyboard;3;Discomfort;1;3.8;58.17496
Keyboard;3;Discomfort;1;3.9;59.07458
Keyboard;3;Discomfort;1;4;60.04059
Keyboard;3;Discomfort;1;4.1;64.87335
Keyboard;3;Discomfort;1;4.2;66.63959
Keyboard;3;Discomfort;1;4.3;71.0806
Keyboard;3;Discomfort;1;4.4;77.85651
Keyboard;3;Discomfort;1;4.5;79.2648
Keyboard;3;Discomfort;1;4.6;80.35553
Keyboard;3;Discomfort;1;4.7;80.5766
Keyboard;3;Discomfort;1;4.6;81.97617
Keyboard;3;Discomfort;1;4.7;82.58646
Keyboard;3;Discomfort;1;4.8;85.66302
Keyboard;3;Discomfort;1;4.9;100.2023
Keyboard;3;Discomfort;1;5;100.5899
Keyboard;3;Discomfort;1;5.1;101.6128
Keyboard;3;Discomfort;1;5.2;102.0013
Keyboard;3;Discomfort;1;5.3;102.2449
Keyboard;3;Discomfort;1;5.4;102.7213
Keyboard;3;Discomfort;1;5.3;105.4351
Keyboard;3;Discomfort;1;5.2;105.9768
Keyboard;3;Discomfort;1;5.3;106.4655
Keyboard;3;Discomfort;1;5.4;106.6873
Keyboard;3;Discomfort;1;5.5;106.8878
Keyboard;3;Discomfort;1;5.6;108.6554
Keyboard;3;Discomfort;1;5.5;109.8448
Keyboard;3;Discomfort;1;5.4;111.0527
Keyboard;3;Discomfort;1;5.5;111.9753
Slider;4;Sensation;1;0.2;0
Slider;4;Sensation;1;0.3;0.1554871
Slider;4;Sensation;1;0.4;0.3113403
Slider;4;Sensation;1;0.5;0.4676208
Slider;4;Sensation;1;0.6;0.589386
Slider;4;Sensation;1;0.7;0.7018127
Slider;4;Sensation;1;0.8;0.8437195
Slider;4;Sensation;1;0.9;1.02121
Slider;4;Sensation;1;1;1.190094
Slider;4;Sensation;1;1.1;1.33371
Slider;4;Sensation;1;1.2;1.455566
Slider;4;Sensation;1;1.3;1.557098
Slider;4;Sensation;1;1.4;1.654846
Slider;4;Sensation;1;1.5;1.743744
Slider;4;Sensation;1;1.6;1.854828
Slider;4;Sensation;1;1.7;1.976715
Slider;4;Sensation;1;1.8;2.087891
Slider;4;Sensation;1;1.9;2.210266
Slider;4;Sensation;1;2;2.310944
Slider;4;Sensation;1;2.1;2.421539
Slider;4;Sensation;1;2.2;2.543701
Slider;4;Sensation;1;2.3;2.688232
Slider;4;Sensation;1;2.4;2.866089
Slider;4;Sensation;1;2.5;3.04364
Slider;4;Sensation;1;2.6;3.199493
Slider;4;Sensation;1;2.7;3.343964
Slider;4;Sensation;1;2.8;3.499268
Slider;4;Sensation;1;2.9;3.665344
Slider;4;Sensation;1;3;3.886749
Slider;4;Sensation;1;3.1;4.086853
Slider;4;Sensation;1;3.2;4.300751
Slider;4;Sensation;1;3.3;4.564514
Slider;4;Sensation;1;3.4;4.885925
Slider;4;Sensation;1;3.5;5.15332
Slider;4;Sensation;1;3.6;5.509369
Slider;4;Sensation;1;3.7;5.798004
Slider;4;Sensation;1;3.6;6.141541
Slider;4;Sensation;1;3.5;6.296814
Slider;4;Sensation;1;3.4;6.475861
Slider;4;Sensation;1;3.3;6.697815
Slider;4;Sensation;1;3.2;8.096344
Slider;4;Sensation;1;3.1;11.26324
Slider;4;Sensation;1;3.2;11.51697
Slider;4;Sensation;1;3.3;11.7067
Slider;4;Sensation;1;3.4;11.88397
Slider;4;Sensation;1;3.3;14.72754
Slider;4;Sensation;1;3.4;14.86148
Slider;4;Sensation;1;3.5;14.96005
Slider;4;Sensation;1;3.6;15.07123
Slider;4;Sensation;1;3.7;15.23969
Slider;4;Sensation;1;3.6;15.3606
Slider;4;Sensation;1;3.7;16.85938
Slider;4;Sensation;1;3.6;17.28168
Slider;4;Sensation;1;3.7;17.42645
Slider;4;Sensation;1;3.8;17.63742
Slider;4;Sensation;1;3.7;18.29211
Slider;4;Sensation;1;3.6;18.6366
Slider;4;Sensation;1;3.5;18.74844
Slider;4;Sensation;1;3.4;18.84799
Slider;4;Sensation;1;3.3;18.96927
Slider;4;Sensation;1;3.4;19.1922
Slider;4;Sensation;1;3.5;19.36896
Slider;4;Sensation;1;3.6;19.55807
Slider;4;Sensation;1;3.7;19.93643
Slider;4;Sensation;1;3.8;20.71405
Slider;4;Discomfort;1;3.7;25.47766
Slider;4;Discomfort;1;3.8;25.60013
Slider;4;Discomfort;1;3.9;25.72311
Slider;4;Discomfort;1;4;25.84375
Slider;4;Discomfort;1;4.1;25.96552
Slider;4;Discomfort;1;4.2;26.09906
Slider;4;Discomfort;1;4.3;26.23386
Slider;4;Discomfort;1;4.4;26.37854
Slider;4;Discomfort;1;4.5;26.55511
Slider;4;Discomfort;1;4.6;26.77728
Slider;4;Discomfort;1;4.7;27.0773
Slider;4;Discomfort;1;4.8;27.37772
Slider;4;Discomfort;1;4.9;27.55533
Slider;4;Discomfort;1;5;27.71054
Slider;4;Discomfort;1;4.9;28.65536
Slider;4;Discomfort;1;5;29.05521
Slider;4;Discomfort;1;5.1;29.43222
Slider;4;Discomfort;1;5.2;29.71014
Slider;4;Discomfort;1;5.3;31.00955
Slider;4;Discomfort;1;5.4;32.09827
Slider;4;Discomfort;1;5.5;32.40762
Slider;4;Discomfort;1;5.6;32.74347
Slider;4;Discomfort;1;5.7;33.64224
Slider;4;Discomfort;1;5.6;34.05307
Slider;4;Discomfort;1;5.5;34.24249
Slider;4;Discomfort;1;5.6;34.41827
Slider;4;Discomfort;1;5.7;34.88574
